   ID   PROVIDER            MODULE                          FUNCTION NAME
88196        fbt               ufs                         ufs_rmdir return
88197        fbt               ufs                       ufs_readdir entry
88198        fbt               ufs                       ufs_readdir return
88199        fbt               ufs                       ufs_symlink entry
88200        fbt               ufs                       ufs_symlink return
88201        fbt               ufs                           ufs_fid entry
88202        fbt               ufs                           ufs_fid return
88203        fbt               ufs                        ufs_rwlock entry
88204        fbt               ufs                        ufs_rwlock return
88205        fbt               ufs                      ufs_rwunlock entry
88206        fbt               ufs                      ufs_rwunlock return
88207        fbt               ufs                          ufs_seek entry
88208        fbt               ufs                          ufs_seek return
88209        fbt               ufs                        ufs_frlock entry
88210        fbt               ufs                        ufs_frlock return
88211        fbt               ufs                         ufs_space entry
88212        fbt               ufs                         ufs_space return
88213        fbt               ufs                       ufs_getpage entry
88214        fbt               ufs                       ufs_getpage return
88215        fbt               ufs                    ufs_getpage_ra entry
88216        fbt               ufs                    ufs_getpage_ra return
88217        fbt               ufs                  ufs_getpage_miss entry
88218        fbt               ufs                  ufs_getpage_miss return
88219        fbt               ufs                       ufs_putpage entry
88220        fbt               ufs                       ufs_putpage return
88221        fbt               ufs                        ufs_iodone entry
88222        fbt               ufs                        ufs_iodone return
88223        fbt               ufs                           ufs_map entry
88224        fbt               ufs                           ufs_map return
88225        fbt               ufs                        ufs_addmap entry
88226        fbt               ufs                        ufs_addmap return
88227        fbt               ufs                        ufs_delmap entry
88228        fbt               ufs                        ufs_delmap return
88229        fbt               ufs                          ufs_poll entry
88230        fbt               ufs                          ufs_poll return
88231        fbt               ufs                    ufs_l_pathconf entry
88232        fbt               ufs                    ufs_l_pathconf return
88233        fbt               ufs                        ufs_pageio entry
88234        fbt               ufs                        ufs_pageio return
88235        fbt               ufs                          ufs_dump entry
88236        fbt               ufs                          ufs_dump return
88237        fbt               ufs                       ufs_dumpctl entry
88238        fbt               ufs                       ufs_dumpctl return
88239        fbt               ufs                        save_dblks entry
88240        fbt               ufs                        save_dblks return
88241        fbt               ufs                    ufs_getsecattr entry
88242        fbt               ufs                    ufs_getsecattr return
88243        fbt               ufs                    ufs_setsecattr entry
88244        fbt               ufs                    ufs_setsecattr return
88245        fbt               ufs                          getquota entry
88246        fbt               ufs                          getquota return
88247        fbt               ufs                          setquota entry
88248        fbt               ufs                          setquota return
88249        fbt               ufs                            opendq entry
88250        fbt               ufs                            opendq return
88251        fbt               ufs                 opendq_scan_inode entry
88252        fbt               ufs                 opendq_scan_inode return
88253        fbt               ufs                         quotasync entry
88254        fbt               ufs                         quotasync return
88255        fbt               ufs                closedq_scan_inode entry
88256        fbt               ufs                closedq_scan_inode return
88257        fbt               ufs               setquota_scan_inode entry
88258        fbt               ufs               setquota_scan_inode return
88259        fbt               ufs                        ufs_getlfd entry
88260        fbt               ufs                        ufs_getlfd return
88261        fbt               ufs                    ufs_thaw_wlock entry
88262        fbt               ufs                    ufs_thaw_wlock return
88263        fbt               ufs                    ufs_thaw_hlock entry
88264        fbt               ufs                    ufs_thaw_hlock return
88265        fbt               ufs               ufs_reconcile_inode entry
88266        fbt               ufs               ufs_reconcile_inode return
88267        fbt               ufs                     ufs_reconcile entry
88268        fbt               ufs                     ufs_reconcile return
88269        fbt               ufs     ufs_lockfs_is_under_rawlockfs entry
88270        fbt               ufs     ufs_lockfs_is_under_rawlockfs return
88271        fbt               ufs         ufs_lockfs_top_vop_return entry
88272        fbt               ufs         ufs_lockfs_top_vop_return return
88273        fbt               ufs                    ufs_attr_purge entry
88274        fbt               ufs                    ufs_attr_purge return
88275        fbt               ufs                     ufs_idle_free entry
88276        fbt               ufs                     ufs_idle_free return
88277        fbt               ufs                       ufs_log_amt entry
88278        fbt               ufs                       ufs_log_amt return
88279        fbt               ufs                      ufs_si_store entry
88280        fbt               ufs                      ufs_si_store return
88281        fbt               ufs                   ufs_si_free_mem entry
88282        fbt               ufs                   ufs_si_free_mem return
88283        fbt               ufs                     si_cachea_get entry
88284        fbt               ufs                     si_cachea_get return
88285        fbt               ufs                      ufs_sectobuf entry
88286        fbt               ufs                      ufs_sectobuf return
88287        fbt               ufs                      si_cache_put entry
88288        fbt               ufs                      si_cache_put return
88289        fbt               ufs                     si_cachei_get entry
88290        fbt               ufs                     si_cachei_get return
88291        fbt               ufs                      acl_validate entry
88292        fbt               ufs                      acl_validate return
88293        fbt               ufs                 vsecattr2aclentry entry
88294        fbt               ufs                 vsecattr2aclentry return
88295        fbt               ufs                 aclentry2vsecattr entry
88296        fbt               ufs                 aclentry2vsecattr return
88297        fbt               ufs                           formacl entry
88298        fbt               ufs                           formacl return
88299        fbt               ufs                         acl_count entry
88300        fbt               ufs                         acl_count return
88301        fbt               ufs                          acl_free entry
88302        fbt               ufs                          acl_free return
88303        fbt               ufs                        ufs_acl_cp entry
88304        fbt               ufs                        ufs_acl_cp return
88305        fbt               ufs                      si_signature entry
88306        fbt               ufs                      si_signature return
88307        fbt               ufs                            si_cmp entry
88308        fbt               ufs                            si_cmp return
88309        fbt               ufs                          aclcksum entry
88310        fbt               ufs                          aclcksum return
88311        fbt               ufs                            aclcmp entry
88312        fbt               ufs                            aclcmp return
88313        fbt               ufs                       ufs_fault_v entry
88314        fbt               ufs                       ufs_fault_v return
88315        fbt               ufs                            triage entry
88316        fbt               ufs                            triage return
88317        fbt               ufs         ufsfx_thread_fix_failures entry
88318        fbt               ufs                      init_failure entry
88319        fbt               ufs                      init_failure return
88320        fbt               ufs                      real_panic_v entry
88321        fbt               ufs                      real_panic_v return
88322        fbt               ufs                     queue_failure entry
88323        fbt               ufs                     queue_failure return
88324        fbt               ufs                         set_state entry
88325        fbt               ufs                         set_state return
88326        fbt               ufs                        real_panic entry
88327        fbt               ufs                        real_panic return
88328        fbt               ufs                    terminal_state entry
88329        fbt               ufs                    terminal_state return
88330        fbt               ufs                           fs_name entry
88331        fbt               ufs                           fs_name return
88332        fbt               ufs                ufsfx_do_failure_q entry
88333        fbt               ufs                ufsfx_do_failure_q return
88334        fbt               ufs                    get_state_desc entry
88335        fbt               ufs                    get_state_desc return
88336        fbt               ufs                        pester_msg entry
88337        fbt               ufs                        pester_msg return
88338        fbt               ufs             trylock_time_exceeded entry
88339        fbt               ufs             trylock_time_exceeded return
88340        fbt               ufs                 get_lockfs_status entry
88341        fbt               ufs                 get_lockfs_status return
88342        fbt               ufs                 state_trans_valid entry
88343        fbt               ufs                 state_trans_valid return
88344        fbt               ufs                          sf_undef entry
88345        fbt               ufs                          sf_undef return
88346        fbt               ufs                           sf_init entry
88347        fbt               ufs                           sf_init return
88348        fbt               ufs                          sf_queue entry
88349        fbt               ufs                          sf_queue return
88350        fbt               ufs                    sf_found_queue entry
88351        fbt               ufs                    sf_found_queue return
88352        fbt               ufs                    sf_nonterm_cmn entry
88353        fbt               ufs                    sf_nonterm_cmn return
88354        fbt               ufs                   sf_found_trylck entry
88355        fbt               ufs                   sf_found_trylck return
88356        fbt               ufs                   sf_found_umount entry
88357        fbt               ufs                   sf_found_umount return
88358        fbt               ufs             sf_found_lock_fix_cmn entry
88359        fbt               ufs             sf_found_lock_fix_cmn return
88360        fbt               ufs                     sf_set_trylck entry
88361        fbt               ufs                     sf_set_trylck return
88362        fbt               ufs                     sf_set_locked entry
88363        fbt               ufs                     sf_set_locked return
88364        fbt               ufs                        set_lockfs entry
88365        fbt               ufs                        set_lockfs return
88366        fbt               ufs                       fsck_active entry
88367        fbt               ufs                       fsck_active return
88368        fbt               ufs                       sf_term_cmn entry
88369        fbt               ufs                       sf_term_cmn return
88370        fbt               ufs     ufsfx_kill_fix_failure_thread entry
88371        fbt               ufs     ufsfx_kill_fix_failure_thread return
88372        fbt               ufs                          sf_panic entry
88373        fbt               ufs                          sf_panic return
88374        fbt               ufs                        sf_minimum entry
88375        fbt               ufs                        sf_minimum return
88376        fbt               ufs              alloc_lockfs_comment entry
88377        fbt               ufs              alloc_lockfs_comment return
88378        fbt               ufs                    lockfs_failure entry
88379        fbt               ufs                    lockfs_failure return
88380        fbt               ufs                    lockfs_success entry
88381        fbt               ufs                    lockfs_success return
88382        fbt               ufs          directio_buf_constructor entry
88383        fbt               ufs          directio_buf_constructor return
88384        fbt               ufs           directio_buf_destructor entry
88385        fbt               ufs           directio_buf_destructor return
88386        fbt               ufs                 directio_wait_one entry
88387        fbt               ufs                 directio_wait_one return
88388        fbt               ufs                     directio_wait entry
88389        fbt               ufs                     directio_wait return
88390        fbt               ufs                    directio_start entry
88391        fbt               ufs                    directio_start return
88392        fbt               ufs                     directio_hole entry
88393        fbt               ufs                     directio_hole return
88394        fbt               ufs            ufs_snap_init_backfile entry
88395        fbt               ufs            ufs_snap_init_backfile return
88396        fbt               ufs          ufs_snap_find_candidates entry
88397        fbt               ufs          ufs_snap_find_candidates return
88398        fbt               ufs            release_backing_vnodes entry
88399        fbt               ufs            release_backing_vnodes return
88400        fbt               ufs                  trans_wait_panic entry
88401        fbt               ufs                  trans_wait_panic return
88402        fbt               ufs                            setsum entry
88403        fbt               ufs                            setsum return
88404        fbt               ufs                          checksum entry
88405        fbt               ufs                          checksum return
88406        fbt               ufs                   lufs_genid_init entry
88407        fbt               ufs                   lufs_genid_init return
88408        fbt               ufs                   lufs_initialize entry
88409        fbt               ufs                   lufs_initialize return
88410        fbt               ufs                         lufs_free entry
88411        fbt               ufs                         lufs_free return
88412        fbt               ufs                        lufs_alloc entry
88413        fbt               ufs                        lufs_alloc return
88414        fbt               ufs                delta_stats_update entry
88415        fbt               ufs                delta_stats_update return
88416        fbt               ufs                   trans_roll_wait entry
88417        fbt               ufs                   trans_roll_wait return
88418        fbt               ufs                  log_roll_buffers entry
88419        fbt               ufs                  log_roll_buffers return
88420        fbt               ufs                          makebusy entry
88421        fbt               ufs                          makebusy return
88422        fbt               ufs                           logdone entry
88423        fbt               ufs                           logdone return
88424        fbt               ufs                 ldl_strategy_done entry
88425        fbt               ufs                 ldl_strategy_done return
88426        fbt               ufs                          map_frag entry
88427        fbt               ufs                          map_frag return
88428        fbt               ufs                          writelog entry
88429        fbt               ufs                          writelog return
88430        fbt               ufs                           readlog entry
88431        fbt               ufs                           readlog return
88432        fbt               ufs                     push_dirty_bp entry
88433        fbt               ufs                     push_dirty_bp return
88434        fbt               ufs                       inval_range entry
88435        fbt               ufs                       inval_range return
88436        fbt               ufs                      get_write_bp entry
88437        fbt               ufs                      get_write_bp return
88438        fbt               ufs                      within_range entry
88439        fbt               ufs                      within_range return
88440        fbt               ufs                           find_bp entry
88441        fbt               ufs                           find_bp return
88442        fbt               ufs                     find_read_lof entry
88443        fbt               ufs                     find_read_lof return
88444        fbt               ufs                       get_read_bp entry
88445        fbt               ufs                       get_read_bp return
88446        fbt               ufs                   extend_write_bp entry
88447        fbt               ufs                   extend_write_bp return
88448        fbt               ufs                          storebuf entry
88449        fbt               ufs                          storebuf return
88450        fbt               ufs                       fetchzeroes entry
88451        fbt               ufs                       fetchzeroes return
88452        fbt               ufs                          fetchbuf entry
88453        fbt               ufs                          fetchbuf return
88454        fbt               ufs                           logseek entry
88455        fbt               ufs                           logseek return
88456        fbt               ufs                 ldl_logscan_ident entry
88457        fbt               ufs                 ldl_logscan_ident return
88458        fbt               ufs                   logmap_list_age entry
88459        fbt               ufs                   logmap_list_age return
88460        fbt               ufs                      logmap_abort entry
88461        fbt               ufs                      logmap_abort return
88462        fbt               ufs                 logmap_wait_space entry
88463        fbt               ufs                 logmap_wait_space return
88464        fbt               ufs               logmap_cancel_delta entry
88465        fbt               ufs               logmap_cancel_delta return
88466        fbt               ufs                logmap_logscan_add entry
88467        fbt               ufs                logmap_logscan_add return
88468        fbt               ufs                    top_issue_sync entry
88469        fbt               ufs                    top_issue_sync return
88470        fbt               ufs           top_threadtrans_destroy entry
88471        fbt               ufs           top_threadtrans_destroy return
88472        fbt               ufs                              free entry
88473        fbt               ufs                              free return
88474        fbt               ufs                              rdip entry
88475        fbt               ufs                              rdip return
88476        fbt               ufs                              skpc entry
88477        fbt               ufs                              skpc return
88478        fbt               ufs                              wrip entry
88479        fbt               ufs                              wrip return
88480        fbt               ufs                logmap_remove_roll entry
88481        fbt               ufs                logmap_remove_roll return
88482        fbt               ufs               ufs_dircheckforname entry
88483        fbt               ufs               ufs_dircheckforname return
88484        fbt               ufs              ufs_sync_with_thread entry
88485        fbt               ufs              ufs_sync_with_thread return
88486        fbt               ufs                             _info entry
88487        fbt               ufs                             _info return
88488        fbt               ufs                             alloc entry
88489        fbt               ufs                             alloc return
88490        fbt               ufs                             chkdq entry
88491        fbt               ufs                             chkdq return
88492        fbt               ufs                             chkiq entry
88493        fbt               ufs                             chkiq return
88494        fbt               ufs                             dqput entry
88495        fbt               ufs                             dqput return
88496        fbt               ufs                             qsync entry
88497        fbt               ufs                             qsync return
88498        fbt               ufs                     ufs_fio_holey entry
88499        fbt               ufs                     ufs_fio_holey return
88500        fbt               ufs                ufs_thread_reclaim entry
88501        fbt               ufs            ufsfx_get_failure_qlen entry
88502        fbt               ufs            ufsfx_get_failure_qlen return
88503        fbt               ufs                           isblock entry
88504        fbt               ufs                           isblock return
88505        fbt               ufs                   ufs_acl_setattr entry
88506        fbt               ufs                   ufs_acl_setattr return
88507        fbt               ufs                      ufs_fbiwrite entry
88508        fbt               ufs                      ufs_fbiwrite return
88509        fbt               ufs                  ufs_thread_start entry
88510        fbt               ufs                  ufs_thread_start return
88511        fbt               ufs                      getdiskquota entry
88512        fbt               ufs                      getdiskquota return
88513        fbt               ufs                  ufs_delete_drain entry
88514        fbt               ufs                  ufs_delete_drain return
88515        fbt               ufs                  ufs_thread_hlock entry
88516        fbt               ufs                   ufs_reset_vnode entry
88517        fbt               ufs                   ufs_reset_vnode return
88518        fbt               ufs                      ufs_notclean entry
88519        fbt               ufs                      ufs_notclean return
88520        fbt               ufs                 ldl_logscan_begin entry
88521        fbt               ufs                 ldl_logscan_begin return
88522        fbt               ufs           ufs_inode_cache_reclaim entry
88523        fbt               ufs           ufs_inode_cache_reclaim return
88524        fbt               ufs                     ufsfx_unmount entry
88525        fbt               ufs                     ufsfx_unmount return
88526        fbt               ufs                 logmap_start_roll entry
88527        fbt               ufs                 logmap_start_roll return
88528        fbt               ufs                ufs_si_cache_flush entry
88529        fbt               ufs                ufs_si_cache_flush return
88530        fbt               ufs                  ufs_check_lockfs entry
88531        fbt               ufs                  ufs_check_lockfs return
88532        fbt               ufs              ufs_lockfs_begin_dlc entry
88533        fbt               ufs              ufs_lockfs_begin_dlc return
88534        fbt               ufs                directio_bufs_init entry
88535        fbt               ufs                directio_bufs_init return
88536        fbt               ufs         ufs_lockfs_tsd_destructor entry
88537        fbt               ufs         ufs_lockfs_tsd_destructor return
88538        fbt               ufs                   ufs_trans_quota entry
88539        fbt               ufs                   ufs_trans_quota return
88540        fbt               ufs                   ufs_trans_write entry
88541        fbt               ufs                   ufs_trans_write return
88542        fbt               ufs                   ufs_alloc_inode entry
88543        fbt               ufs                   ufs_alloc_inode return
88544        fbt               ufs                  ldl_logscan_read entry
88545        fbt               ufs                  ldl_logscan_read return
88546        fbt               ufs                   ufs_trans_hlock entry
88547        fbt               ufs                   ufs_trans_hlock return
88548        fbt               ufs                    logmap_add_buf entry
88549        fbt               ufs                    logmap_add_buf return
88550        fbt               ufs                     ufs_dirremove entry
88551        fbt               ufs                     ufs_dirremove return
88552        fbt               ufs                     log_roll_read entry
88553        fbt               ufs                     log_roll_read return
88554        fbt               ufs                 ufs_trans_sbwrite entry
88555        fbt               ufs                 ufs_trans_sbwrite return
88556        fbt               ufs                         ldl_waito entry
88557        fbt               ufs                         ldl_waito return
88558        fbt               ufs                         ldl_write entry
88559        fbt               ufs                         ldl_write return
88560        fbt               ufs              ufs_trans_write_resv entry
88561        fbt               ufs              ufs_trans_write_resv return
88562        fbt               ufs                     deltamap_push entry
88563        fbt               ufs                     deltamap_push return
88564        fbt               ufs                  logmap_kill_roll entry
88565        fbt               ufs                  logmap_kill_roll return
88566        fbt               ufs                ufs_thread_suspend entry
88567        fbt               ufs                ufs_thread_suspend return
88568        fbt               ufs                  ufs_trans_dqrele entry
88569        fbt               ufs                  ufs_trans_dqrele return
88570        fbt               ufs                  ldl_round_commit entry
88571        fbt               ufs                  ldl_round_commit return
88572        fbt               ufs                          blkatoff entry
88573        fbt               ufs                          blkatoff return
88574        fbt               ufs                      top_end_sync entry
88575        fbt               ufs                      top_end_sync return
88576        fbt               ufs                     top_end_async entry
88577        fbt               ufs                     top_end_async return
88578        fbt               ufs                 ufs_indirblk_sync entry
88579        fbt               ufs                 ufs_indirblk_sync return
88580        fbt               ufs                ufs_trans_push_buf entry
88581        fbt               ufs                ufs_trans_push_buf return
88582        fbt               ufs               ufs_mark_compressed entry
88583        fbt               ufs               ufs_mark_compressed return
88584        fbt               ufs          ufs_sticky_remove_access entry
88585        fbt               ufs          ufs_sticky_remove_access return
88586        fbt               ufs                        logmap_add entry
88587        fbt               ufs                        logmap_add return
88588        fbt               ufs                           map_get entry
88589        fbt               ufs                           map_get return
88590        fbt               ufs                           map_put entry
88591        fbt               ufs                           map_put return
88592        fbt               ufs                          clrblock entry
88593        fbt               ufs                          clrblock return
88594        fbt               ufs                        isclrblock entry
88595        fbt               ufs                        isclrblock return
88596        fbt               ufs                log_roll_write_crb entry
88597        fbt               ufs                log_roll_write_crb return
88598        fbt               ufs                ufs_putsummaryinfo entry
88599        fbt               ufs                ufs_putsummaryinfo return
88600        fbt               ufs                ufs_getsummaryinfo entry
88601        fbt               ufs                ufs_getsummaryinfo return
88602        fbt               ufs                     ufs_diraccess entry
88603        fbt               ufs                     ufs_diraccess return
88604        fbt               ufs                      ufsfx_lockfs entry
88605        fbt               ufs                      ufsfx_lockfs return
